Stato;Regione;PIL(MLD);Popolazione;Densita;Contagi
China;Hubei;89.02;57237740;307.9;67800
China;Guangdong;529.06;104303132;579.46;1407
China;Henan;323.08;100023567;563.01;1273
China;Zhejiang;323.08;54426891;533.59;1237
China;Hunan;105.71;65683722;312.77;1018
China;Anhui;67.9;59500510;425.91;990
China;Jiangxi;65.17;44567475;266.87;936
China;Shandong;218.68;95793065;622.84;766
China;Jiangsu;571.38;78659903;766.67;633
China;Chongqing;111.37;30484300;369.95;577
China;Sichuan;92.49;85500000;165.81;543
China;Heilongjiang;143.9;37920000;83.29;484
China;Beijing;194.38;19612368;1167.4;514
China;Shanghai;238.00;23019148;3630.2;394
China;Hebei;1237.14;71854202;382.81;319
China;Fujian;105.84;36894216;304.15;307
China;Guangxi;134.06;46026629;195.02;254
China;Shaanxi;33.85;37727378;181.55;248
China;Yunnan;2097.88;45966239;116.66;176
China;Hainan;10.85;8671518;255.04;168
China;Guizhou;19.13;34746468;197.42;146
China;Tianjin;128.5;12938224;1144.46;137
China;Shanxi;42.92;35712111;228.48;133
China;Liaoning;84.69;43746323;299.83;126
China;Jilin;59.82;24462297;146.54;93
China;Gansu;21.95;25575254;56.29;136
China;Xinjiang;76.19;21813334;13.13;76
China;Inner Mongolia;164.72;24706321;20.88;75
China;Ningxia;23.13;6301350;94.89;75
China;Tibet;6.4;3180000;2.44;1
China;Qinghai;5.49;5626722;7.8;18
Italia;Valle d'Aosta;4.87;125332;38.43;364
Italia;Piemonte;156.3;4356406;171.6;4420
Italia;Liguria;37.18;1550640;286.3;1665
Italia;Lombardia;400.64;10085021;422.61;27206
Italia;Veneto;181.57;4905854;267.42;5122
Italia;Trentino Alto-Adige;34.62;1074524;78.98;1632
Italia;Friuli Venezia Giulia;29.9;1215220;153.35;874
Italia;Emilia Romagna;172.07;4459477;198.62;7555
Italia;Toscana;124.39;3729641;162.25;2277
Italia;Marche ;35.33;1522608;161.96;2421
Italia;Abruzzo;34.93;1305283;120.5;581
Italia;Umbria ;18.19;879337;103.99;521
Italia;Lazio;199.64;5867097;340.47;1383
Italia;Campania;116.25;5774465;424.0;936
Italia;Molise;6.81;302931;67.91;66
Italia;Puglia;67.87;4012310;205.33;786
Italia;Basilicata;13.56;559084;55.5;81
Italia;Calabria;31.09;1935414;127.15;273
Italia;Sicilia;95.09;4969147;192.36;630
Italia;Sardegna;36.77;1632892;67.75;339
